17539
20141106215608,10.0.0.2,52144,10.0.0.5,5001,3,0.0-1.0,393216,3145728
20141106215609,10.0.0.2,52144,10.0.0.5,5001,3,1.0-2.0,262144,2097152
20141106215611,10.0.0.2,52144,10.0.0.5,5001,3,2.0-3.0,393216,3145728
20141106215611,10.0.0.2,52144,10.0.0.5,5001,3,3.0-4.0,262144,2097152
20141106215613,10.0.0.2,52144,10.0.0.5,5001,3,4.0-5.0,393216,3145728
20141106215613,10.0.0.2,52144,10.0.0.5,5001,3,5.0-6.0,262144,2097152
20141106215614,10.0.0.2,52144,10.0.0.5,5001,3,6.0-7.0,524288,4194304
20141106215615,10.0.0.2,52144,10.0.0.5,5001,3,7.0-8.0,393216,3145728
20141106215616,10.0.0.2,52144,10.0.0.5,5001,3,8.0-9.0,393216,3145728
20141106215618,10.0.0.2,52144,10.0.0.5,5001,3,9.0-10.0,393216,3145728
20141106215618,10.0.0.2,52144,10.0.0.5,5001,3,10.0-11.0,262144,2097152
20141106215620,10.0.0.2,52144,10.0.0.5,5001,3,11.0-12.0,393216,3145728
20141106215621,10.0.0.2,52144,10.0.0.5,5001,3,12.0-13.0,393216,3145728
20141106215622,10.0.0.2,52144,10.0.0.5,5001,3,13.0-14.0,262144,2097152
20141106215622,10.0.0.2,52144,10.0.0.5,5001,3,14.0-15.0,262144,2097152
20141106215624,10.0.0.2,52144,10.0.0.5,5001,3,15.0-16.0,393216,3145728
20141106215625,10.0.0.2,52144,10.0.0.5,5001,3,16.0-17.0,262144,2097152
20141106215625,10.0.0.2,52144,10.0.0.5,5001,3,17.0-18.0,262144,2097152
20141106215627,10.0.0.2,52144,10.0.0.5,5001,3,18.0-19.0,393216,3145728
20141106215628,10.0.0.2,52144,10.0.0.5,5001,3,19.0-20.0,393216,3145728
20141106215628,10.0.0.2,52144,10.0.0.5,5001,3,20.0-21.0,262144,2097152
20141106215629,10.0.0.2,52144,10.0.0.5,5001,3,21.0-22.0,393216,3145728
20141106215630,10.0.0.2,52144,10.0.0.5,5001,3,22.0-23.0,393216,3145728
20141106215632,10.0.0.2,52144,10.0.0.5,5001,3,23.0-24.0,393216,3145728
20141106215633,10.0.0.2,52144,10.0.0.5,5001,3,24.0-25.0,393216,3145728
20141106215634,10.0.0.2,52144,10.0.0.5,5001,3,25.0-26.0,393216,3145728
20141106215634,10.0.0.2,52144,10.0.0.5,5001,3,26.0-27.0,262144,2097152
20141106215636,10.0.0.2,52144,10.0.0.5,5001,3,27.0-28.0,393216,3145728
20141106215637,10.0.0.2,52144,10.0.0.5,5001,3,28.0-29.0,262144,2097152
20141106215638,10.0.0.2,52144,10.0.0.5,5001,3,29.0-30.0,262144,2097152
20141106215638,10.0.0.2,52144,10.0.0.5,5001,3,0.0-30.6,10485760,2743213
