0.338301787 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.338891451 10.0.0.1:44798 10.0.0.2:5001 32 0x5477a9d8 0x54771c70 26 24 55296 7
0.339499002 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.341927283 10.0.0.1:44798 10.0.0.2:5001 32 0x5477a9d8 0x54773310 26 24 55296 7
0.342054836 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.346030460 10.0.0.1:44798 10.0.0.2:5001 32 0x5477a9d8 0x54773e60 26 24 55296 7
0.346569604 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.348904518 10.0.0.1:44798 10.0.0.2:5001 32 0x5477da08 0x547749b0 26 24 55296 7
0.349163745 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.349509585 10.0.0.1:44798 10.0.0.2:5001 32 0x5477e558 0x54775500 26 24 55296 7
0.350396399 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.351498934 10.0.0.1:44798 10.0.0.2:5001 32 0x5477e558 0x54776050 26 24 55296 7
0.351716591 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.354616662 10.0.0.1:44798 10.0.0.2:5001 32 0x5477e558 0x54776ba0 26 24 55296 7
0.354692424 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.356327927 10.0.0.1:44798 10.0.0.2:5001 32 0x5477e558 0x547776f0 26 24 55296 7
0.357805713 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.360129122 10.0.0.1:44798 10.0.0.2:5001 32 0x54781298 0x54778240 26 24 60928 6
0.362709979 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.365054526 10.0.0.1:44798 10.0.0.2:5001 32 0x54781de8 0x547798e0 26 24 60928 7
0.366172986 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.368560310 10.0.0.1:44798 10.0.0.2:5001 32 0x54781de8 0x5477af80 26 24 60928 7
0.368833480 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.371085270 10.0.0.1:44798 10.0.0.2:5001 32 0x54784b28 0x5477bad0 26 24 60928 6
0.372239326 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.374086322 10.0.0.1:44798 10.0.0.2:5001 32 0x54785678 0x5477c620 26 24 60928 6
0.374210157 10.0.0.2:5001 10.0.0.1:44798 784 0x360fa253 0x360fa253 10 2147483647 14848 3
0.377169882 10.0.0.1:44798 10.0.0.2:5001 32 0x54785678 0x5477d170 26 24 60928 7
0.377288958 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.378560381 10.0.0.1:44798 10.0.0.2:5001 32 0x54785678 0x5477da08 27 24 60928 7
0.378890711 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.379878007 10.0.0.1:44798 10.0.0.2:5001 32 0x54785678 0x5477e558 27 24 60928 7
0.380134020 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.382441299 10.0.0.1:44798 10.0.0.2:5001 32 0x54788960 0x5477f0a8 27 24 60928 6
0.382570538 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.387309647 10.0.0.1:44798 10.0.0.2:5001 32 0x547894b0 0x5477fbf8 27 24 60928 6
0.387372105 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
