1415326557,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1415326557,lo,536.00,536.00,1072.00,536,536,6.00,6.00,12.00,6,6,0.00,0.00,0,0
1415326557,total,4098188.00,4111352.00,8209540.00,4111352,4098188,4028.00,4030.00,8058.00,4030,4028,0.00,0.00,0,0
1415326558,s1-eth1,2638573.00,59676.65,2698249.50,59796,2643850,1751.50,904.19,2655.69,906,1755,0.00,0.00,0,0
1415326558,s1-eth2,59742.52,2570579.00,2630321.50,2575720,59862,905.19,1706.59,2611.78,1710,907,0.00,0.00,0,0
1415326558,s2-eth1,2570579.00,59742.52,2630321.50,59862,2575720,1706.59,905.19,2611.78,907,1710,0.00,0.00,0,0
1415326558,s2-eth2,58820.36,2624974.00,2683794.50,2630224,58938,891.22,1742.52,2633.73,1746,893,0.00,0.00,0,0
1415326558,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1415326558,lo,534.93,534.93,1069.86,536,536,5.99,5.99,11.98,6,6,0.00,0.00,0,0
1415326558,total,5328249.50,5315507.00,10643757.00,5326138,5338906,5260.48,5264.47,10524.95,5275,5271,0.00,0.00,0,0
1415326559,s1-eth1,3649996.00,81378.00,3731374.00,81378,3649996,2418.00,1233.00,3651.00,1233,2418,0.00,0.00,0,0
1415326559,s1-eth2,80388.00,3675734.00,3756122.00,3675734,80388,1218.00,2435.00,3653.00,2435,1218,0.00,0.00,0,0
1415326559,s2-eth1,3675734.00,80388.00,3756122.00,80388,3675734,2435.00,1218.00,3653.00,1218,2435,0.00,0.00,0,0
1415326559,s2-eth2,79860.00,3666650.00,3746510.00,3666650,79860,1210.00,2429.00,3639.00,2429,1210,0.00,0.00,0,0
1415326559,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1415326559,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1415326559,total,7485978.00,7504150.00,14990128.00,7504150,7485978,7281.00,7315.00,14596.00,7315,7281,0.00,0.00,0,0
1415326560,s1-eth1,5069580.00,113058.00,5182638.00,113058,5069580,3354.00,1713.00,5067.00,1713,3354,0.00,0.00,0,0
1415326560,s1-eth2,112728.00,5058982.00,5171710.00,5058982,112728,1708.00,3347.00,5055.00,3347,1708,0.00,0.00,0,0
1415326560,s2-eth1,5058982.00,112728.00,5171710.00,112728,5058982,3347.00,1708.00,5055.00,1708,3347,0.00,0.00,0,0
1415326560,s2-eth2,111672.00,5071094.00,5182766.00,5071094,111672,1692.00,3355.00,5047.00,3355,1692,0.00,0.00,0,0
1415326560,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1415326560,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1415326560,total,10352962.00,10355862.00,20708824.00,10355862,10352962,10101.00,10123.00,20224.00,10123,10101,0.00,0.00,0,0
1415326561,s1-eth1,5997200.00,135168.00,6132368.00,135168,5997200,3968.00,2048.00,6016.00,2048,3968,0.00,0.00,0,0
1415326561,s1-eth2,135102.00,6024452.00,6159554.00,6024452,135102,2047.00,3986.00,6033.00,3986,2047,0.00,0.00,0,0
1415326561,s2-eth1,6024452.00,135102.00,6159554.00,135102,6024452,3986.00,2047.00,6033.00,2047,3986,0.00,0.00,0,0
1415326561,s2-eth2,136224.00,6010826.00,6147050.00,6010826,136224,2064.00,3977.00,6041.00,3977,2064,0.00,0.00,0,0
1415326561,eth0,0.00,310.00,310.00,310,0,0.00,2.00,2.00,2,0,0.00,0.00,0,0
1415326561,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1415326561,total,12292978.00,12305858.00,24598836.00,12305858,12292978,12065.00,12060.00,24125.00,12060,12065,0.00,0.00,0,0
1415326562,s1-eth1,5876522.00,126984.00,6003506.00,126984,5876522,3885.00,1924.00,5809.00,1924,3885,0.00,0.00,0,0
1415326562,s1-eth2,126984.00,5881064.00,6008048.00,5881064,126984,1924.00,3888.00,5812.00,3888,1924,0.00,0.00,0,0
1415326562,s2-eth1,5881064.00,126984.00,6008048.00,126984,5881064,3888.00,1924.00,5812.00,1924,3888,0.00,0.00,0,0
1415326562,s2-eth2,126984.00,5879550.00,6006534.00,5879550,126984,1924.00,3887.00,5811.00,3887,1924,0.00,0.00,0,0
1415326562,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1415326562,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1415326562,total,12011554.00,12014582.00,24026136.00,12014582,12011554,11621.00,11623.00,23244.00,11623,11621,0.00,0.00,0,0
1415326563,s1-eth1,6100142.00,130350.00,6230492.00,130350,6100142,4035.00,1975.00,6010.00,1975,4035,0.00,0.00,0,0
1415326563,s1-eth2,130350.00,6116796.00,6247146.00,6116796,130350,1975.00,4046.00,6021.00,4046,1975,0.00,0.00,0,0
1415326563,s2-eth1,6116796.00,130350.00,6247146.00,130350,6116796,4046.00,1975.00,6021.00,1975,4046,0.00,0.00,0,0
1415326563,s2-eth2,130350.00,6118310.00,6248660.00,6118310,130350,1975.00,4047.00,6022.00,4047,1975,0.00,0.00,0,0
1415326563,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1415326563,lo,344.00,344.00,688.00,344,344,6.00,6.00,12.00,6,6,0.00,0.00,0,0
1415326563,total,12477982.00,12496150.00,24974132.00,12496150,12477982,12037.00,12049.00,24086.00,12049,12037,0.00,0.00,0,0
1415326564,s1-eth1,6030548.00,131010.00,6161558.00,131010,6030548,3986.00,1985.00,5971.00,1985,3986,0.00,0.00,0,0
